UF,Municipio,IBGE,IBGE7,UF,Município,latitude,longitude,Região,População 2010,Porte,BOTULISMO,LEISHMANIOSE VISCERAL,LEISHMANIOSE TEGUMENTAR,FEBRE AMARELA,DENGUE,HEPATITE VIRAL,FEBRE MACULOSA,LEPTOSPIROSE,DOENÇA DE CHAGAS,PICADAS DE COBRAS,ZIKA VÍRUS,FEBRE TIFÓIDE,HANTAVIROSE,MENINGITE,RAIVA
GO,Abadia de Goiás,520005,5200050,GO,Abadia de Goiás,"-16,7573","-49,4412",Região Centro-Oeste,6876,Pequeno I,0,0,0,0,14,2,0,0,0,0,1,0,0,0,0
MG,Abadia Dos Dourados,310010,3100104,MG,Abadia Dos Dourados,"-18,4831","-47,3916",Região Sudeste,6704,Pequeno I,0,0,1,0,12,6,0,1,0,31,0,0,0,0,0
GO,Abadiânia,520010,5200100,GO,Abadiânia,"-16,197","-48,7057",Região Centro-Oeste,15757,Pequeno I,0,0,0,0,122,0,0,0,0,0,2,0,0,0,0
MG,Abaeté,310020,3100203,MG,Abaeté,"-19,1551","-45,4444",Região Sudeste,22690,Pequeno II,0,0,3,0,34,4,0,0,0,112,15,0,0,0,0
PA,Abaetetuba,150010,1500107,PA,Abaetetuba,"-1,72183","-48,8788",Região Norte,141100,Grande,0,4,3,0,43,46,0,9,83,92,7,1,0,0,0
CE,Abaiara,230010,2300101,CE,Abaiara,"-7,34588","-39,0416",Região Nordeste,10496,Pequeno I,0,0,0,0,99,1,0,0,0,0,0,0,0,0,0
BA,Abaíra,290010,2900108,BA,Abaíra,"-13,2488","-41,6619",Região Nordeste,8316,Pequeno I,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0
BA,Abaré,290020,2900207,BA,Abaré,"-8,72073","-39,1162",Região Nordeste,17064,Pequeno I,0,0,1,0,310,0,0,0,0,56,3,0,0,0,0
PR,Abatiá,410010,4100103,PR,Abatiá,"-23,3049","-50,3133",Região Sul,7764,Pequeno I,0,0,0,0,13,1,0,0,0,19,0,0,0,0,0
SC,Abdon Batista,420005,4200051,SC,Abdon Batista,"-27,6126","-51,0233",Região Sul,2653,Pequeno I,0,0,0,0,0,2,0,0,0,11,0,0,0,0,0
PA,Abel Figueiredo,150013,1500131,PA,Abel Figueiredo,"-4,95333","-48,3933",Região Norte,6780,Pequeno I,0,0,6,0,1,4,0,0,0,14,0,0,0,0,0
SC,Abelardo Luz,420010,4200101,SC,Abelardo Luz,"-26,5716","-52,3229",Região Sul,17100,Pequeno I,0,0,0,0,19,15,0,0,0,37,3,0,0,0,0
MG,Abre Campo,310030,3100302,MG,Abre Campo,"-20,2996","-42,4743",Região Sudeste,13311,Pequeno I,0,0,2,0,12,0,0,0,0,177,0,0,0,0,0
PE,Abreu e Lima,260005,2600054,PE,Abreu e Lima,"-7,90072","-34,8984",Região Nordeste,94429,Médio,0,0,2,0,27,1,0,0,0,19,8,0,0,0,0
TO,Abreulândia,170025,1700251,TO,Abreulândia,"-9,62101","-49,1518",Região Norte,2391,Pequeno I,0,1,2,0,0,0,0,0,0,24,1,0,0,0,0
MG,Acaiaca,310040,3100401,MG,Acaiaca,"-20,362458","-43,1439",Região Sudeste,3920,Pequeno I,0,0,1,0,84,1,0,0,0,10,0,0,0,0,0
MA,Açailândia,210005,2100055,MA,Açailândia,"-4,94714","-47,5004",Região Nordeste,104047,Grande,0,14,75,0,0,6,0,0,0,149,8,0,0,0,0
BA,Acajutiba,290030,2900306,BA,Acajutiba,"-11,6575","-38,0197",Região Nordeste,14653,Pequeno I,0,0,0,0,40,2,0,0,0,3,5,0,0,0,0
PA,Acará,150020,1500206,PA,Acará,"-1,95383","-48,1985",Região Norte,53569,Médio,0,3,8,0,2,0,0,0,1,52,7,0,0,0,0
CE,Acarapé,230015,2300150,CE,Acarapé,"-4,22083","-38,7055",Região Nordeste,15338,Pequeno I,0,0,0,0,0,8,0,0,0,5,0,0,0,1,0
CE,Acaraú,230020,2300200,CE,Acaraú,"-2,88769","-40,1183",Região Nordeste,57551,Médio,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
RN,Acari,240010,2400109,RN,Acari,"-6,4282","-36,6347",Região Nordeste,11035,Pequeno I,0,0,0,0,11,0,0,0,0,0,3,0,0,0,0
PI,Acauã,220005,2200053,PI,Acauã,"-8,21954","-41,0831",Região Nordeste,6749,Pequeno I,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
RS,Aceguá,430003,4300034,RS,Aceguá,"-31,8665","-54,1615",Região Sul,4394,Pequeno I,0,0,0,0,1,1,0,0,0,13,0,0,0,0,0
CE,Acopiara,230030,2300309,CE,Acopiara,"-6,08911","-39,448395",Região Nordeste,51160,Médio,0,1,0,0,35,1,0,0,0,0,24,0,0,0,0
MT,Acorizal,510010,5100102,MT,Acorizal,"-15,194","-56,3632",Região Centro-Oeste,5516,Pequeno I,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
AC,Acrelândia,120001,1200013,AC,Acrelândia,"-9,82581","-66,8972",Região Norte,12538,Pequeno I,0,0,15,0,32,13,0,2,0,32,2,0,0,0,0
GO,Acreúna,520013,5200134,GO,Acreúna,"-17,396443","-50,3749",Região Centro-Oeste,20279,Pequeno II,0,0,0,0,124,2,0,0,0,14,0,0,0,0,0
RN,Açu,240020,2400208,RN,Açu,"-5,58362","-36,914",Região Nordeste,53227,Médio,0,0,0,0,528,4,0,2,0,135,115,0,0,0,0
MG,Açucena,310050,3100500,MG,Açucena,"-19,0671","-42,5419",Região Sudeste,10276,Pequeno I,0,0,0,0,123,1,0,0,0,21,11,0,0,0,0
SP,Adamantina,350010,3500105,SP,Adamantina,"-21,682","-51,0737",Região Sudeste,33797,Pequeno II,0,1,2,0,1060,19,0,2,0,60,4,0,1,1,0
GO,Adelândia,520015,5200159,GO,Adelândia,"-16,4127","-50,1657",Região Centro-Oeste,2477,Pequeno I,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
SP,Adolfo,350020,3500204,SP,Adolfo,"-21,2325","-49,6451",Região Sudeste,3557,Pequeno I,0,0,0,0,8,1,0,0,0,3,6,0,0,0,0
PR,Adrianópolis,410020,4100202,PR,Adrianópolis,"-24,6606","-48,9922",Região Sul,6376,Pequeno I,0,0,14,0,0,1,0,0,0,3,0,0,0,0,0
